Euring	Sortering	Artnavn	Latin	English	Status	Type
15600	5230	Allike	Coloeus monedula	Western Jackdaw	A	art
15630	5270	Råge	Corvus frugilegus	Rook	A	art
15700	5275	Broget Krage	Corvus albus	Pied Crow	EU	art
15720	5280	Ravn	Corvus corax	Northern Raven	A	art
15671	5290	Sortkrage	Corvus corone	Carrion Crow	A	art
15673	5300	Gråkrage	Corvus cornix	Hooded Crow	A	art
14610	5350	Sortmejse	Periparus ater	Coal Tit	A	art
14540	5360	Topmejse	Lophophanes cristatus	European Crested Tit	A	art
14400	5370	Sumpmejse	Poecile palustris	Marsh Tit	A	art
14420	5380	Fyrremejse	Poecile montanus	Willow Tit	A	art
14620	5420	Blåmejse	Cyanistes caeruleus	Eurasian Blue Tit	A	art
14640	5430	Musvit	Parus major	Great Tit	A	art
14900	5450	Pungmejse	Remiz pendulinus	Eurasian Penduline Tit	AS	art
9700	5460	Dværglærke	Alaudala rufescens	Lesser Short-toed Lark	U	art
9620	5470	Østlig Kalanderlærke	Melanocorypha bimaculata	Bimaculated Lark	AU	art
9680	5490	Korttået Lærke	Calandrella brachydactyla	Greater Short-toed Lark	AU	art
9780	5500	Bjerglærke	Eremophila alpestris	Horned Lark	A	art
9740	5510	Hedelærke	Lullula arborea	Woodlark	A	art
9760	5520	Sanglærke	Alauda arvensis	Eurasian Skylark	A	art
9720	5530	Toplærke	Galerida cristata	Crested Lark	AS	art
13640	5550	Skægmejse	Panurus biarmicus	Bearded Reedling	A	art
12260	5560	Cistussanger	Cisticola juncidis	Zitting Cisticola	AU	art
12390	5570	Stor Græshoppesanger	Helopsaltes fasciolatus	Gray's Grasshopper Warbler	AU	art
12350	5580	Stribet Græshoppesanger	Locustella lanceolata	Lanceolated Warbler	AU	art
12380	5590	Savisanger	Locustella luscinioides	Savi's Warbler	AS	art
12370	5600	Flodsanger	Locustella fluviatilis	River Warbler	AS	art
12360	5610	Græshoppesanger	Locustella naevia	Common Grasshopper Warbler	A	art
12560	5620	Lille Gulbug	Iduna caligata	Booted Warbler	AU	art
12550	5630	Bleg Gulbug	Iduna pallida	Eastern Olivaceous Warbler	AU	art
12600	5640	Spottesanger	Hippolais polyglotta	Melodious Warbler	AU	art
12590	5650	Gulbug	Hippolais icterina	Icterine Warbler	A	art
12420	5660	Vandsanger	Acrocephalus paludicola	Aquatic Warbler	AU	art
12410	5670	Tamarisksanger	Acrocephalus melanopogon	Moustached Warbler	U	art
12430	5680	Sivsanger	Acrocephalus schoenobaenus	Sedge Warbler	A	art
12480	5690	Buskrørsanger	Acrocephalus dumetorum	Blyth's Reed Warbler	AS	art
12500	5700	Kærsanger	Acrocephalus palustris	Marsh Warbler	A	art
12510	5710	Rørsanger	Acrocephalus scirpaceus	Eurasian Reed Warbler	A	art
12470	5720	Lille Rørsanger	Acrocephalus agricola	Paddyfield Warbler	AU	art
12530	5730	Drosselrørsanger	Acrocephalus arundinaceus	Great Reed Warbler	AS	art
10010	5740	Bysvale	Delichon urbicum	Common House Martin	A	art
9950	5750	Rødrygget Svale	Cecropis daurica	Red-rumped Swallow	AS	art
9920	5760	Landsvale	Hirundo rustica	Barn Swallow	A	art
9910	5790	Klippesvale	Ptyonoprogne rupestris	Eurasian Crag Martin	AU	art
9810	5800	Digesvale	Riparia riparia	Sand Martin	A	art
13070	5820	Bjergløvsanger	Phylloscopus bonelli	Western Bonelli's Warbler	AU	art
13080	5840	Skovsanger	Phylloscopus sibilatrix	Wood Warbler	A	art
13000	5850	Hvidbrynet Løvsanger	Phylloscopus inornatus	Yellow-browed Warbler	AS	art
13005	5860	Himalayasanger	Phylloscopus humei	Hume's Leaf Warbler	AU	art
12980	5870	Fuglekongesanger	Phylloscopus proregulus	Pallas's Leaf Warbler	AS	art
13030	5880	Brun Løvsanger	Phylloscopus fuscatus	Dusky Warbler	AS	art
13050	5890	Sinkiangløvsanger	Phylloscopus griseolus	Sulphur-bellied warbler	AU	art
13120	5900	Løvsanger	Phylloscopus trochilus	Willow Warbler	A	art
13116	5940	Iberisk Gransanger	Phylloscopus ibericus	Iberian Chiffchaff	AU	art
13110	5950	Gransanger	Phylloscopus collybita	Common Chiffchaff	A	art
13010	5990	Schwarz´ Løvsanger	Phylloscopus schwarzi	Radde's Warbler	AU	art
12930	6000	Lundsanger	Phylloscopus trochiloides	Greenish Warbler	AS	art
12920	6005	Østlig Lundsanger	Phylloscopus plumbeitarsus	Two-barred Warbler	AU	art
12950	6010	Nordsanger	Phylloscopus borealis	Arctic Warbler	AU	art
12910	6020	Grøn Sanger	Phylloscopus nitidus	Green Warbler	AU	art
14370	6040	Halemejse	Aegithalos caudatus	Long-tailed Tit	A	art
12770	6080	Munk	Sylvia atricapilla	Eurasian Blackcap	A	art
12760	6090	Havesanger	Sylvia borin	Garden Warbler	A	art
12700	6100	Asiatisk Ørkensanger	Curruca nana	Asian Desert Warbler	AU	art
12730	6110	Høgesanger	Curruca nisoria	Barred Warbler	AS	art
12740	6120	Gærdesanger	Curruca curruca	Lesser Whitethroat	A	art
12690	6150	Sortstrubet Sanger	Curruca ruppeli	Rüppell's Warbler	AU	art
12656	6162	Iberisk Sanger	Curruca iberiae	Western Subalpine Warbler	AU	art
12655	6163	Makisanger	Curruca subalpina	Moltoni's Warbler	AU	art
12654	6165	Rødstrubet Sanger	Curruca cantillans	Eastern Subalpine Warbler	AU	art
12670	6170	Sorthovedet Sanger	Curruca melanocephala	Sardinian Warbler	AU	art
12750	6180	Tornsanger	Curruca communis	Common Whitethroat	A	art
12610	6190	Sardinsk Sanger	Curruca sarda	Marmora's Warbler	AU	art
13140	6200	Fuglekonge	Regulus regulus	Goldcrest	A	art
13150	6210	Rødtoppet Fuglekonge	Regulus ignicapilla	Common Firecrest	A	art
10480	6230	Silkehale	Bombycilla garrulus	Bohemian Waxwing	A	art
14870	6240	Korttået Træløber	Certhia brachydactyla	Short-toed Treecreeper	A	art
14860	6250	Træløber	Certhia familiaris	Eurasian Treecreeper	A	art
14790	6290	Spætmejse	Sitta europaea	Eurasian Nuthatch	A	art
10660	6320	Gærdesmutte	Troglodytes troglodytes	Eurasian Wren	A	art
15820	6340	Stær	Sturnus vulgaris	Common Starling	A	art
15830	6350	Ensfarvet Stær	Sturnus unicolor	Spotless Starling	AU	art
15840	6360	Rosenstær	Pastor roseus	Rosy Starling	AS	art
10500	6370	Vandstær	Cinclus cinclus	White-throated Dipper	A	art
13350	6380	Grå Fluesnapper	Muscicapa striata	Spotted Flycatcher	A	art
13340	6390	Brun Fluesnapper	Muscicapa dauurica	Asian Brown Flycatcher	AU	art
10990	6400	Rødhals	Erithacus rubecula	European Robin	A	art
11020	6410	Dværgnattergal	Larvivora sibilans	Rufous-tailed Robin	AU	art
11030	6420	Nattergal	Luscinia luscinia	Thrush Nightingale	A	art
11040	6430	Sydlig Nattergal	Luscinia megarhynchos	Common Nightingale	AS	art
11060	6450	Blåhals	Luscinia svecica	Bluethroat	A	art
11050	6480	Rubinnattergal	Calliope calliope	Siberian Rubythroat	AU	art
11130	6490	Blåstjert	Tarsiger cyanurus	Red-flanked Bluetail	AU	art
13430	6500	Lille Fluesnapper	Ficedula parva	Red-breasted Flycatcher	AS	art
13432	6505	Tajgafluesnapper	Ficedula albicilla	Taiga Flycatcher	AU	art
13490	6510	Broget Fluesnapper	Ficedula hypoleuca	European Pied Flycatcher	A	art
13480	6520	Hvidhalset Fluesnapper	Ficedula albicollis	Collared Flycatcher	AS	art
11220	6550	Rødstjert	Phoenicurus phoenicurus	Common Redstart	A	art
11210	6560	Husrødstjert	Phoenicurus ochruros	Black Redstart	A	art
11620	6580	Stendrossel	Monticola saxatilis	Common Rock Thrush	AU	art
11370	6590	Bynkefugl	Saxicola rubetra	Whinchat	A	art
11390	6600	Sortstrubet Bynkefugl	Saxicola rubicola	European Stonechat	A	art
11399	6640	Sibirisk Bynkefugl	Saxicola maurus	Siberian Stonechat	AU	art
11392	6665	Japansk Bynkefugl	Saxicola stejnegeri	Stejneger's Stonechat	AU	art
11460	6670	Stenpikker	Oenanthe oenanthe	Northern Wheatear	A	art
11440	6700	Isabellastenpikker	Oenanthe isabellina	Isabelline Wheatear	AU	art
11490	6710	Ørkenstenpikker	Oenanthe deserti	Desert Wheatear	AU	art
11482	6722	Østlig Middelhavsstenpikker	Oenanthe melanoleuca	Eastern Black-eared Wheatear	AU	art
11481	6725	Vestlig Middelhavsstenpikker	Oenanthe hispanica	Western Black-eared Wheatear	AU	art
11470	6730	Nonnestenpikker	Oenanthe pleschanka	Pied Wheatear	AU	art
11570	6740	Hvidkronet Stenpikker	Oenanthe leucopyga	White-crowned Wheatear	AU	art
11700	6750	Gulddrossel	Zoothera aurea	White's Thrush	AU	art
11770	6760	Olivenskovdrossel	Catharus ustulatus	Swainson's Thrush	AU	art
11760	6765	Eremitdrossel	Catharus guttatus	Hermit Thrush	AU	art
12020	6770	Misteldrossel	Turdus viscivorus	Mistle Thrush	A	art
12000	6780	Sangdrossel	Turdus philomelos	Song Thrush	A	art
12010	6790	Vindrossel	Turdus iliacus	Redwing	A	art
11870	6820	Solsort	Turdus merula	Common Blackbird	A	art
12030	6830	Vandredrossel	Turdus migratorius	American Robin	AU	art
11950	6840	Gråstrubet Drossel	Turdus obscurus	Eyebrowed Thrush	AU	art
11980	6850	Sjagger	Turdus pilaris	Fieldfare	A	art
11860	6870	Ringdrossel	Turdus torquatus	Ring Ouzel	A	art
11962	6875	Brundrossel	Turdus eunomus	Dusky Thrush	AU	art
11972	6880	Sortstrubet Drossel	Turdus atrogularis	Black-throated Thrush	AU	art
10940	6920	Alpejernspurv	Prunella collaris	Alpine Accentor	AU	art
10860	6930	Sibirisk Jernspurv	Prunella montanella	Siberian Accentor	AU	art
10900	6935	Sortstrubet Jernspurv	Prunella atrogularis	Black-throated Accentor	AU	art
10840	6940	Jernspurv	Prunella modularis	Dunnock	A	art
15910	6950	Gråspurv	Passer domesticus	House Sparrow	A	art
15920	6955	Spansk Spurv	Passer hispaniolensis	Spanish Sparrow	AU	art
15980	6960	Skovspurv	Passer montanus	Eurasian Tree Sparrow	A	art
16110	6985	Snefinke	Montifringilla nivalis	White-winged Snowfinch	AU	art
10090	6990	Skovpiber	Anthus trivialis	Tree Pipit	A	art
10080	7000	Tajgapiber	Anthus hodgsoni	Olive-backed Pipit	AU	art
10120	7010	Rødstrubet Piber	Anthus cervinus	Red-throated Pipit	AS	art
10110	7020	Engpiber	Anthus pratensis	Meadow Pipit	A	art
10140	7030	Bjergpiber	Anthus spinoletta	Water Pipit	AS	art
10135	7040	Skærpiber	Anthus petrosus	European Rock Pipit	A	art
10020	7060	Storpiber	Anthus richardi	Richard's Pipit	AS	art
10040	7070	Mongolsk Piber	Anthus godlewskii	Blyth's Pipit	AU	art
10050	7080	Markpiber	Anthus campestris	Tawny Pipit	AS	art
10170	7100	Gul Vipstjert	Motacilla flava	Western Yellow Wagtail	A	art
10190	7160	Bjergvipstjert	Motacilla cinerea	Grey Wagtail	A	art
10180	7170	Citronvipstjert	Motacilla citreola	Citrine Wagtail	AS	art
10200	7190	Hvid Vipstjert	Motacilla alba	White Wagtail	A	art
16360	7230	Bogfinke	Fringilla coelebs	Common Chaffinch	A	art
16380	7240	Kvækerfinke	Fringilla montifringilla	Brambling	A	art
17170	7270	Kernebider	Coccothraustes coccothraustes	Hawfinch	A	art
16790	7280	Karmindompap	Carpodacus erythrinus	Common Rosefinch	A	art
16890	7300	Rosenfinke	Carpodacus roseus	Pallas's Rosefinch	E	art
16990	7310	Krognæb	Pinicola enucleator	Pine Grosbeak	AU	art
17100	7320	Dompap	Pyrrhula pyrrhula	Eurasian Bullfinch	A	art
16760	7350	Ørkendompap	Bucanetes githagineus	Trumpeter Finch	AU	art
16740	7360	Ørkenfinke	Rhodospiza obsoleta	Desert Finch	E	art
16490	7370	Grønirisk	Chloris chloris	European Greenfinch	A	art
16500	7380	Brunirisk	Chloris sinica	Grey-capped Greenfinch	E	art
16620	7390	Bjergirisk	Linaria flavirostris	Twite	A	art
16600	7400	Tornirisk	Linaria cannabina	Common Linnet	A	art
16634	7420	Nordlig Gråsisken	Acanthis flammea	Common Redpoll	A	art
16635	7430	Lille Gråsisken	Acanthis cabaret	Lesser Redpoll	A	art
16640	7450	Hvidsisken	Acanthis hornemanni	Arctic Redpoll	AS	art
16680	7470	Stor Korsnæb	Loxia pytyopsittacus	Parrot Crossbill	AS	art
16660	7480	Lille Korsnæb	Loxia curvirostra	Red Crossbill	A	art
16650	7510	Hvidvinget Korsnæb	Loxia leucoptera	Two-barred Crossbill	AS	art
16530	7520	Stillits	Carduelis carduelis	European Goldfinch	A	art
16400	7530	Gulirisk	Serinus serinus	European Serin	AS	art
16420	7540	Kanariefugl	Serinus canaria	Atlantic Canary	E	art
16540	7550	Grønsisken	Spinus spinus	Eurasian Siskin	A	art
18470	7560	Lapværling	Calcarius lapponicus	Lapland Longspur	A	art
18500	7570	Snespurv	Plectrophenax nivalis	Snow Bunting	A	art
18420	7590	Mørkøjet Junco	Junco hyemalis	Dark-eyed Junco	AU	art
18400	7600	Hvidstrubet Spurv	Zonotrichia albicollis	White-throated Sparrow	AU	art
18800	7610	Brunhovedet Værling	Emberiza bruniceps	Red-headed Bunting	AU	art
18810	7620	Hætteværling	Emberiza melanocephala	Black-headed Bunting	AU	art
18820	7640	Bomlærke	Emberiza calandra	Corn Bunting	A	art
18600	7650	Klippeværling	Emberiza cia	Rock Bunting	AU	art
18650	7660	Gulgrå Værling	Emberiza cineracea	Cinereous Bunting	AU	art
18660	7670	Hortulan	Emberiza hortulana	Ortolan Bunting	AS	art
18580	7680	Gærdeværling	Emberiza cirlus	Cirl Bunting	AU	art
18570	7690	Gulspurv	Emberiza citrinella	Yellowhammer	A	art
18560	7700	Hvidkindet Værling	Emberiza leucocephalos	Pine Bunting	AU	art
18770	7710	Rørspurv	Emberiza schoeniclus	Common Reed Bunting	A	art
18730	7720	Pileværling	Emberiza rustica	Rustic Bunting	AU	art
18740	7730	Dværgværling	Emberiza pusilla	Little Bunting	AS	art
18760	7740	Gulbrystet Værling	Emberiza aureola	Yellow-breasted Bunting	AU	art
18710	7745	Gulbrynet Værling	Emberiza chrysophrys	Yellow-browed Bunting	AU	art
17330	7755	Gul Sanger	Setophaga aestiva	American Yellow Warbler	AU	art
17530	7760	Stribet Sanger	Setophaga striata	Blackpoll Warbler	AU	art
18870	7770	Rosenbrystet Kernebider	Pheucticus ludovicianus	Rose-breasted Grosbeak	AU	art
18920	7780	Indigofinke	Passerina cyanea	Indigo Bunting	DU	art
