Euring	Sortering	Artnavn	Latin	English	Status	Type
6700	1470	Ringdue	Columba palumbus	Common Wood Pigeon	A	art
6870	1480	Turteldue	Streptopelia turtur	European Turtle Dove	AS	art
6890	1490	Østlig Turteldue	Streptopelia orientalis	Oriental Turtle Dove	AU	art
6840	1500	Tyrkerdue	Streptopelia decaocto	Eurasian Collared Dove	A	art
6950	1510	Sørgedue	Zenaida macroura	Mourning Dove	AU	art
6630	1530	Steppehøne	Syrrhaptes paradoxus	Pallas's Sandgrouse	AU	art
7790	1540	Rødhalset Natravn	Caprimulgus ruficollis	Red-necked Nightjar	U	art
7780	1550	Natravn	Caprimulgus europaeus	European Nightjar	A	art
7810	1560	Ørkennatravn	Caprimulgus aegyptius	Egyptian Nightjar	AU	art
7920	1570	Tornhalesejler	Hirundapus caudacutus	White-throated Needletail	AU	art
7980	1580	Alpesejler	Tachymarptis melba	Alpine Swift	AU	art
7970	1590	Orientsejler	Apus pacificus	Pacific Swift	AU	art
7990	1592	Kaffersejler	Apus caffer	White-rumped Swift	AU	art
8000	1595	Lille Sejler	Apus affinis	Little Swift	AU	art
7960	1600	Gråsejler	Apus pallidus	Pallid Swift	AU	art
7950	1610	Mursejler	Apus apus	Common Swift	A	art
7160	1630	Skadegøg	Clamator glandarius	Great Spotted Cuckoo	AU	art
7270	1640	Sortnæbbet Gøg	Coccyzus erythropthalmus	Black-billed Cuckoo	AU	art
7280	1650	Gulnæbbet Gøg	Coccyzus americanus	Yellow-billed Cuckoo	BU	art
7240	1660	Gøg	Cuculus canorus	Common Cuckoo	A	art
4070	1670	Vandrikse	Rallus aquaticus	Water Rail	A	art
4210	1680	Engsnarre	Crex crex	Corn Crake	A	art
4080	1690	Plettet Rørvagtel	Porzana porzana	Spotted Crake	AS	art
4100	1700	Lille Rørvagtel	Zapornia parva	Little Crake	AU	art
4110	1710	Dværgrørvagtel	Zapornia pusilla	Baillon's Crake	AU	art
4270	1730	Sultanhøne	Porphyrio porphyrio	Western Swamphen	E	art
4250	1740	Lille Sultanhøne	Porphyrio alleni	Allen's Gallinule	BU	art
4240	1750	Rørhøne (Grønbenet)	Gallinula chloropus	Common Moorhen	A	art
4290	1760	Blishøne	Fulica atra	Eurasian Coot	A	art
4360	1770	Prærietrane	Antigone canadensis	Sandhill Crane	AU	art
4410	1780	Jomfrutrane	Grus virgo	Demoiselle Crane	AU	art
4330	1790	Trane	Grus grus	Common Crane	A	art
4420	1820	Dværgtrappe	Tetrax tetrax	Little Bustard	AU	art
4460	1830	Stortrappe	Otis tarda	Great Bustard	AU	art
4445	1840	Østlig Kravetrappe	Chlamydotis macqueenii	Macqueen's Bustard	BU	art
20	1850	Rødstrubet Lom	Gavia stellata	Red-throated Loon	A	art
30	1870	Sortstrubet Lom	Gavia arctica	Black-throated Loon	A	art
33	1875	Stillehavslom	Gavia pacifica	Pacific Loon	AU	art
40	1880	Islom	Gavia immer	Common Loon	AS	art
50	1900	Hvidnæbbet Lom	Gavia adamsii	Yellow-billed Loon	AS	art
500	1915	Wilsons Stormsvale	Oceanites oceanicus	Wilson's Storm Petrel	AU	art
140	1920	Sortbrynet Albatros	Thalassarche melanophris	Black-browed Albatross	AU	art
520	1940	Lille Stormsvale	Hydrobates pelagicus	European Storm Petrel	AS	art
550	1950	Stor Stormsvale	Hydrobates leucorhous	Leach's Storm Petrel	AS	art
220	1970	Mallemuk	Fulmarus glacialis	Northern Fulmar	A	art
430	1990	Sodfarvet Skråpe	Ardenna grisea	Sooty Shearwater	AS	art
400	2000	Storskråpe	Ardenna gravis	Great Shearwater	AU	art
361	2005	Scopolis Skråpe	Calonectris diomedea	Scopoli's Shearwater	AU	art
362	2010	Atlantisk Skråpe	Calonectris borealis	Cory's Shearwater	AU	art
460	2040	Almindelig Skråpe	Puffinus puffinus	Manx Shearwater	AS	art
465	2060	Ægæerskråpe	Puffinus yelkouan	Yelkouan Shearwater	U	art
455	2070	Balearskråpe	Puffinus mauretanicus	Balearic Shearwater	AU	art
490	2075	Tropeskråpe	Puffinus lherminieri	Audubon's Shearwater	AU	art
480	2080	Lille Skråpe	Puffinus baroli	Barolo Shearwater	U	art
1310	2100	Sort Stork	Ciconia nigra	Black Stork	AS	art
1340	2110	Hvid Stork	Ciconia ciconia	White Stork	A	art
880	2130	Hvid Pelikan	Pelecanus onocrotalus	Great White Pelican	DU	art
900	2140	Rosapelikan	Pelecanus rufescens	Pink-backed Pelican	E	art
890	2150	Krøltoppet Pelikan	Pelecanus crispus	Dalmatian Pelican	AU	art
950	2170	Rørdrum	Botaurus stellaris	Eurasian Bittern	A	art
960	2180	Amerikansk Rørdrum	Botaurus lentiginosus	American Bittern	AU	art
980	2190	Dværghejre	Ixobrychus minutus	Little Bittern	AU	art
1040	2200	Nathejre	Nycticorax nycticorax	Black-crowned Night Heron	AU	art
